Section,A_mm,B_mm,t_mm,Area_cm2,W_kg_m,W_N_m,Cxx_cm,Cyy_cm,exx_cm,eyy_cm,Ixx_cm4,Iyy_cm4,Iuu_cm4,Ivv_cm4,rxx_cm,ryy_cm,ruu_cm,rvv_cm,Zxx_cm3,Zyy_cm3,tan_alpha,r1_mm,r2_mm,Ixy_cm4
ISA 9060,90,60,10,14.01,11.0,107.9,3.04,1.55,5.96,4.45,110.9,39.1,127.3,22.8,2.81,1.67,3.01,1.27,18.6,8.8,0.43,7.5,5.0,37.8
ISA 9060,90,60,12,16.57,13.0,127.5,3.12,1.63,5.88,4.37,129.1,45.2,147.5,26.8,2.79,1.65,2.98,1.27,22.0,10.3,0.42,7.5,5.0,43.3
ISA 10065,100,65,6,9.55,7.5,73.6,3.19,1.47,6.81,5.03,96.7,32.4,110.6,18.6,3.18,1.84,3.4,1.39,14.2,6.4,0.42,8.0,5.5,36.5
ISA 10065,100,65,8,12.57,9.9,97.1,3.28,1.55,6.72,4.93,125.9,41.9,143.6,24.2,3.16,1.83,3.38,1.39,18.7,8.5,0.42,8.0,5.5,42.0
ISA 10065,100,65,10,15.51,12.2,119.7,3.37,1.63,6.63,4.87,153.2,50.7,174.2,29.7,3.14,1.81,3.35,1.38,23.1,10.4,0.41,8.0,5.5,50.7
ISA 10075,100,75,6,10.14,8.0,78.5,3.01,1.78,6.99,5.72,100.9,48.7,124.0,25.6,3.15,2.19,3.5,1.59,14.4,8.5,0.55,8.5,6.0,41.0
ISA 10075,100,75,8,13.36,10.5,103.0,3.1,1.87,6.9,5.63,131.6,63.3,161.3,33.6,3.14,2.18,3.48,1.59,19.1,11.2,0.55,8.5,6.0,53.4
ISA 10075,100,75,10,16.5,13.0,131.4,3.19,1.95,6.81,5.55,160.4,76.9,196.1,41.2,3.12,2.16,3.45,1.59,23.6,13.8,0.55,8.5,6.0,64.7
ISA 10075,100,75,12,19.56,15.4,151.1,3.27,2.03,6.73,5.47,187.5,89.5,228.4,48.6,3.1,2.14,3.42,1.58,27.9,16.3,0.54,8.5,6.0,74.9
ISA 12575,125,75,6,11.66,9.2,90.3,4.05,1.59,8.45,5.91,187.8,51.6,208.9,30.5,4.01,2.1,4.33,1.62,22.9,8.7,0.37,9.0,6.0,56.7
ISA 12575,125,75,8,15.38,12.1,118.7,4.15,1.68,8.35,5.82,245.5,67.2,272.8,40.0,4.0,2.09,4.31,1.61,29.4,11.5,0.38,9.0,6.0,74.0
ISA 12575,125,75,10,19.02,14.9,146.2,4.24,1.76,8.26,5.74,300.3,81.6,332.9,49.1,3.97,2.07,4.18,1.61,36.3,14.2,0.38,9.0,6.0,89.9
ISA 12595,125,95,6,12.86,10.1,99.1,3.7,2.22,8.8,7.28,203.2,102.1,252.3,52.9,3.97,2.85,4.43,2.03,23.1,14.0,0.57,9.0,6.0,64.5
ISA 12595,125,95,8,16.98,13.3,130.5,3.8,2.31,8.7,7.19,266.0,133.3,329.7,69.6,3.96,2.8,4.41,2.03,30.6,18.5,0.57,9.0,6.0,110.5
ISA 12595,125,95,10,21.02,16.5,161.9,3.88,2.39,8.62,7.11,325.8,162.7,402.9,85.6,3.94,2.78,4.38,2.02,37.8,22.9,0.57,9.0,6.0,138.0
ISA 12595,125,95,12,24.98,19.6,192.3,3.96,2.47,8.54,7.03,382.6,190.4,472.0,101.0,3.91,2.76,4.35,2.01,44.8,27.1,0.56,9.0,6.0,157.7
ISA 15075,150,75,8,17.42,13.7,134.4,5.23,1.53,9.77,5.97,407.2,70.2,432.8,44.5,4.83,2.01,4.98,1.6,41.7,11.8,0.27,10.0,6.0,95.5
ISA 15075,150,75,10,21.56,16.9,165.8,5.32,1.61,9.68,5.89,499.1,85.3,529.8,54.6,4.81,1.99,4.96,1.59,51.6,14.5,0.26,10.0,6.0,116.2
ISA 15075,150,75,12,25.62,20.1,197.2,5.41,1.69,9.59,5.81,587.0,99.5,622.2,64.3,4.79,1.97,4.93,1.59,61.2,17.1,0.26,10.0,6.0,135.3
ISA 150115,150,115,8,20.58,16.2,158.9,4.46,2.73,10.54,8.77,465.7,238.9,581.2,123.3,4.76,3.41,5.31,2.43,44.8,27.8,0.58,11.0,7.5,193.9
ISA 150115,150,115,10,25.52,20.0,196.2,4.55,2.82,10.45,8.68,573.3,293.4,714.3,152.4,4.74,3.39,5.29,2.44,54.9,33.8,0.58,11.0,7.5,241.0
ISA 150115,150,115,12,30.38,23.8,233.5,4.64,2.9,10.36,8.6,676.5,345.3,841.4,180.4,4.72,3.37,5.26,2.44,65.3,40.2,0.59,11.0,7.5,289.6
ISA 150115,150,115,15,37.52,29.5,289.4,4.76,3.02,10.24,8.48,823.5,418.6,1020.9,221.2,4.69,3.34,5.22,2.43,80.4,49.4,0.57,11.0,7.5,348.6
ISA 200100,200,100,10,29.03,22.8,223.7,6.96,2.01,13.04,7.99,1210.0,209.2,1286.7,132.5,6.46,2.68,6.68,2.14,92.8,20.2,0.27,12.0,8.0,284.8
ISA 200100,200,100,12,34.59,27.2,266.8,7.05,2.1,12.95,7.9,1431.7,246.2,1521.0,156.8,6.43,2.67,6.65,2.13,110.6,31.1,0.26,12.0,8.0,335.4
ISA 200100,200,100,15,42.78,33.6,329.6,7.18,2.22,12.82,7.78,1750.5,298.1,1856.7,191.9,6.4,2.64,6.59,2.12,138.6,38.3,0.26,12.0,8.0,395.9
ISA 200150,200,150,10,34.0,26.7,261.9,5.99,3.51,14.01,11.49,1377.9,669.6,1696.6,350.8,6.37,4.44,7.08,3.31,98.3,53.3,0.58,13.5,9.5,384.1
ISA 200150,200,150,12,40.56,31.8,312.0,6.08,3.6,13.92,11.4,1634.9,793.2,2010.8,417.2,6.35,4.42,7.04,3.31,117.4,66.6,0.58,13.5,9.5,509.1
ISA 200150,200,150,15,50.25,39.4,386.5,6.2,3.72,13.8,11.28,2005.6,969.9,2461.9,513.6,6.32,4.39,7.0,3.3,145.4,86.0,0.58,13.5,9.5,617.5
ISA 200150,200,150,18,59.76,46.9,460.1,6.33,3.84,13.67,11.16,2359.4,1136.9,2889.5,606.9,6.29,4.36,6.95,3.19,179.5,101.9,0.58,13.5,9.5,698.1
