Section,W_kg/m,W_N/m,Area,h,bf,tf,tw,Ixx,Iyy,rxx,ryy,Zxx,Zyy,r1,r2,D_deg,h1,h2,b1,C,g,g1_min,Max_flange_rivet_mm
ISWB 600,145.1,1423.4,184.88,600,250,23.6,11.8,115625.6,5298.3,25.01,5.35,3854.2,423.9,18,9,96,507.9,46.05,119.1,7.4,140,80,32
ISHB 150,27.1,265.9,34.48,150,150,9,5.4,1455.6,431.7,6.5,3.54,194.1,57.6,8,4,94,112,19,72.3,4.2,90,55,22
ISHB 150,30.6,300.2,38.98,150,150,9,8.4,1540,460.3,6.29,3.44,205.3,60.2,8,4,94,112,19,70.8,5.7,90,55,22
ISHB 150,34.6,339.4,44.08,150,150,9,11.8,1635.6,494.9,6.09,3.35,218.1,63.2,8,4,94,112,19,69.1,7.4,90,55,22
ISHB 200,37.3,365.9,47.54,200,200,9,6.1,3608.4,957.1,8.71,4.51,360.8,96.7,9,4.5,94,158.4,20.8,96.95,4.55,"1,40,100",55,"22,32"
ISHB 200,40,392.4,50.94,200,200,9,7.8,3721.8,984.6,8.55,4.42,372.2,98.6,9,4.5,94,158.4,20.8,96.1,5.4,"1,40,100",55,"22,32"
ISHB 225,43.1,422.8,54.94,225,225,9.1,6.5,5279.5,1353.8,9.8,4.96,469.3,120.3,10,5,94,180.5,22.2,109.25,4.75,140,55,28
ISHB 225,46.8,459.1,59.68,225,225,9.1,8.6,5478.8,1396.6,9.58,4.84,487,123,10,5,94,180.5,22.2,108.2,5.8,140,55,28
ISHB 250,51,500.3,64.96,250,250,9.7,6.9,7738.5,1951.3,10.91,5.49,618.9,156.9,10,5,94,203.5,23.2,121.55,4.95,140,60,32
ISHB 250,54.7,536.6,69.71,250,250,9.7,8.8,7963.9,2011.7,10.7,5.37,638.7,159.7,10,5,94,203.5,23.2,120.6,5.9,140,60,32
ISHB 300,58.8,576.8,74.85,300,250,10.6,7.6,12545.2,2193.6,12.95,5.41,836.3,175.5,11,5.5,94,249.8,25.1,121.2,5.3,140,60,32
ISHB 300,63,618,80.25,300,250,10.6,9.4,12950.2,2246.7,12.7,5.29,863.3,178.4,11,5.5,94,249.8,25.1,120.3,6.2,140,60,32
ISHB 350,67.4,661.2,85.91,350,250,11.6,8.3,19159.7,2451.4,14.93,5.34,1094.8,196.1,12,6,94,296,27,120.85,5.65,140,60,32
ISHB 350,72.4,710.2,92.21,350,250,11.6,10.1,19802.8,2510.5,14.65,5.22,1131.6,199.4,12,6,94,296,27,119.95,6.55,140,60,32
ISHB 400,77.4,759.3,98.66,400,250,12.7,9.1,28063.5,2728.3,16.87,5.26,1404.2,218.3,14,7,94,340.1,29.9,120.45,6.05,140,65,32
ISHB 400,82.2,806.4,104.68,400,250,12.7,10.6,28823.5,2783,16.61,5.15,1444.2,221.3,14,7,94,340.1,29.9,119.7,6.8,140,65,32
ISHB 450,87.2,855.4,111.14,450,250,13.7,9.8,39210.8,2925.2,18.78,5.18,1742.7,238.8,15,7.5,94,386.2,31.9,120.1,6.4,140,65,32
ISHB 450,92.5,907.4,117.89,450,250,13.7,11.3,40349.9,3045,18.5,5.08,1793.3,242.1,15,7.5,94,386.2,31.9,119.35,7.15,140,65,32
